dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,IC-FS(full),42,0.3000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,0.5000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,0.6000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,0.7000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,0.8000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,0.9000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),42,1.0000,4,1,0,0,5,55.4828,0.2000,11.0966
OULAD,0,IC-FS(full),123,0.3000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,0.5000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,0.6000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,0.7000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,0.8000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,0.9000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),123,1.0000,4,1,0,0,5,56.6367,0.2000,11.3273
OULAD,0,IC-FS(full),456,0.3000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,0.5000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,0.6000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,0.7000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,0.8000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,0.9000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),456,1.0000,4,1,0,0,5,56.9176,0.2000,11.3835
OULAD,0,IC-FS(full),789,0.3000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,0.5000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,0.6000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,0.7000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,0.8000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,0.9000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),789,1.0000,4,1,0,0,5,55.9929,0.2000,11.1986
OULAD,0,IC-FS(full),1011,0.3000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),1011,0.5000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),1011,0.6000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),1011,0.7000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),1011,0.8000,4,1,0,0,5,55.2539,0.2000,11.0508
