dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,IC-FS(full),42,0.3000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,0.5000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,0.6000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,0.7000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,0.8000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,0.9000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),42,1.0000,6,1,0,0,7,55.4779,0.1429,7.9254
OULAD,0,IC-FS(full),123,0.3000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,0.5000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,0.6000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,0.7000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,0.8000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,0.9000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),123,1.0000,6,1,0,0,7,56.8112,0.1429,8.1159
OULAD,0,IC-FS(full),456,0.3000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,0.5000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,0.6000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,0.7000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,0.8000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,0.9000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),456,1.0000,6,1,0,0,7,56.5100,0.1429,8.0729
OULAD,0,IC-FS(full),789,0.3000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,0.5000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,0.6000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,0.7000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,0.8000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,0.9000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),789,1.0000,6,1,0,0,7,56.1106,0.1429,8.0158
OULAD,0,IC-FS(full),1011,0.3000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,0.5000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,0.6000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,0.7000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,0.8000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,0.9000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),1011,1.0000,6,1,0,0,7,55.2930,0.1429,7.8990
OULAD,0,IC-FS(full),2024,0.3000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,0.5000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,0.6000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,0.7000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,0.8000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,0.9000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),2024,1.0000,6,1,0,0,7,55.7873,0.1429,7.9696
OULAD,0,IC-FS(full),3033,0.3000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,0.5000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,0.6000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,0.7000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,0.8000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,0.9000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),3033,1.0000,6,1,0,0,7,55.2576,0.1429,7.8939
OULAD,0,IC-FS(full),4044,0.3000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,0.5000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,0.6000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,0.7000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,0.8000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,0.9000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,IC-FS(full),4044,1.0000,6,1,0,0,7,55.5551,0.1429,7.9364
OULAD,0,NSGA-II-MOFS,0,0.3000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.5000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.6000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.7000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.8000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.9000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,1.0000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,StabilitySelection,0,0.3000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.5000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.6000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.7000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.8000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.9000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,1.0000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,Boruta,0,0.3000,10,1,0,0,11,56.2056,0.0909,5.1096
