dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,1,IC-FS(full),42,0.3000,0,1,14,0,15,77.7682,0.3467,26.9596
OULAD,1,IC-FS(full),42,0.5000,0,1,14,0,15,77.7682,0.5333,41.4764
OULAD,1,IC-FS(full),42,0.6000,0,1,14,0,15,77.7682,0.6267,48.7347
OULAD,1,IC-FS(full),42,0.7000,0,1,14,0,15,77.7682,0.7200,55.9931
OULAD,1,IC-FS(full),42,0.8000,0,1,14,0,15,77.7682,0.8133,63.2515
OULAD,1,IC-FS(full),42,0.9000,0,1,14,0,15,77.7682,0.9067,70.5098
OULAD,1,IC-FS(full),42,1.0000,0,1,14,0,15,77.7682,1.0000,77.7682
OULAD,1,IC-FS(full),123,0.3000,0,1,14,0,15,77.5781,0.3467,26.8938
OULAD,1,IC-FS(full),123,0.5000,0,1,14,0,15,77.5781,0.5333,41.3750
OULAD,1,IC-FS(full),123,0.6000,0,1,14,0,15,77.5781,0.6267,48.6156
OULAD,1,IC-FS(full),123,0.7000,0,1,14,0,15,77.5781,0.7200,55.8563
OULAD,1,IC-FS(full),123,0.8000,0,1,14,0,15,77.5781,0.8133,63.0969
OULAD,1,IC-FS(full),123,0.9000,0,1,14,0,15,77.5781,0.9067,70.3375
OULAD,1,IC-FS(full),123,1.0000,0,1,14,0,15,77.5781,1.0000,77.5781
OULAD,1,IC-FS(full),456,0.3000,0,1,14,0,15,77.6414,0.3467,26.9157
OULAD,1,IC-FS(full),456,0.5000,0,1,14,0,15,77.6414,0.5333,41.4088
OULAD,1,IC-FS(full),456,0.6000,0,1,14,0,15,77.6414,0.6267,48.6553
OULAD,1,IC-FS(full),456,0.7000,0,1,14,0,15,77.6414,0.7200,55.9018
OULAD,1,IC-FS(full),456,0.8000,0,1,14,0,15,77.6414,0.8133,63.1484
OULAD,1,IC-FS(full),456,0.9000,0,1,14,0,15,77.6414,0.9067,70.3949
OULAD,1,IC-FS(full),456,1.0000,0,1,14,0,15,77.6414,1.0000,77.6414
OULAD,1,IC-FS(full),789,0.3000,0,1,14,0,15,77.0115,0.3467,26.6973
OULAD,1,IC-FS(full),789,0.5000,0,1,14,0,15,77.0115,0.5333,41.0728
OULAD,1,IC-FS(full),789,0.6000,0,1,14,0,15,77.0115,0.6267,48.2606
OULAD,1,IC-FS(full),789,0.7000,0,1,14,0,15,77.0115,0.7200,55.4483
OULAD,1,IC-FS(full),789,0.8000,0,1,14,0,15,77.0115,0.8133,62.6360
OULAD,1,IC-FS(full),789,0.9000,0,1,14,0,15,77.0115,0.9067,69.8238
OULAD,1,IC-FS(full),789,1.0000,0,1,14,0,15,77.0115,1.0000,77.0115
OULAD,1,IC-FS(full),1011,0.3000,0,1,14,0,15,76.5315,0.3467,26.5309
OULAD,1,IC-FS(full),1011,0.5000,0,1,14,0,15,76.5315,0.5333,40.8168
OULAD,1,IC-FS(full),1011,0.6000,0,1,14,0,15,76.5315,0.6267,47.9598
OULAD,1,IC-FS(full),1011,0.7000,0,1,14,0,15,76.5315,0.7200,55.1027
OULAD,1,IC-FS(full),1011,0.8000,0,1,14,0,15,76.5315,0.8133,62.2456
OULAD,1,IC-FS(full),1011,0.9000,0,1,14,0,15,76.5315,0.9067,69.3886
OULAD,1,IC-FS(full),1011,1.0000,0,1,14,0,15,76.5315,1.0000,76.5315
OULAD,1,IC-FS(full),2024,0.3000,0,1,14,0,15,77.4388,0.3467,26.8454
OULAD,1,IC-FS(full),2024,0.5000,0,1,14,0,15,77.4388,0.5333,41.3007
OULAD,1,IC-FS(full),2024,0.6000,0,1,14,0,15,77.4388,0.6267,48.5283
OULAD,1,IC-FS(full),2024,0.7000,0,1,14,0,15,77.4388,0.7200,55.7559
OULAD,1,IC-FS(full),2024,0.8000,0,1,14,0,15,77.4388,0.8133,62.9835
OULAD,1,IC-FS(full),2024,0.9000,0,1,14,0,15,77.4388,0.9067,70.2112
OULAD,1,IC-FS(full),2024,1.0000,0,1,14,0,15,77.4388,1.0000,77.4388
OULAD,1,IC-FS(full),3033,0.3000,0,1,14,0,15,77.5862,0.3467,26.8965
OULAD,1,IC-FS(full),3033,0.5000,0,1,14,0,15,77.5862,0.5333,41.3793
OULAD,1,IC-FS(full),3033,0.6000,0,1,14,0,15,77.5862,0.6267,48.6207
OULAD,1,IC-FS(full),3033,0.7000,0,1,14,0,15,77.5862,0.7200,55.8621
OULAD,1,IC-FS(full),3033,0.8000,0,1,14,0,15,77.5862,0.8133,63.1034
OULAD,1,IC-FS(full),3033,0.9000,0,1,14,0,15,77.5862,0.9067,70.3448
OULAD,1,IC-FS(full),3033,1.0000,0,1,14,0,15,77.5862,1.0000,77.5862
OULAD,1,IC-FS(full),4044,0.3000,0,1,14,0,15,77.2494,0.3467,26.7798
OULAD,1,IC-FS(full),4044,0.5000,0,1,14,0,15,77.2494,0.5333,41.1997
