dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
UCI-Math,0,NSGA-II-MOFS,0,0.3000,0,6,1,0,7,65.2514,0.9000,58.7263
UCI-Math,0,NSGA-II-MOFS,0,0.5000,0,6,1,0,7,65.2514,0.9286,60.5906
UCI-Math,0,NSGA-II-MOFS,0,0.6000,0,6,1,0,7,65.2514,0.9429,61.5228
UCI-Math,0,NSGA-II-MOFS,0,0.7000,0,6,1,0,7,65.2514,0.9571,62.4550
UCI-Math,0,NSGA-II-MOFS,0,0.8000,0,6,1,0,7,65.2514,0.9714,63.3871
UCI-Math,0,NSGA-II-MOFS,0,0.9000,0,6,1,0,7,65.2514,0.9857,64.3193
UCI-Math,0,NSGA-II-MOFS,0,1.0000,0,6,1,0,7,65.2514,1.0000,65.2514
UCI-Math,0,StabilitySelection,0,0.3000,2,2,1,0,5,61.0427,0.4600,28.0796
UCI-Math,0,StabilitySelection,0,0.5000,2,2,1,0,5,61.0427,0.5000,30.5213
UCI-Math,0,StabilitySelection,0,0.6000,2,2,1,0,5,61.0427,0.5200,31.7422
UCI-Math,0,StabilitySelection,0,0.7000,2,2,1,0,5,61.0427,0.5400,32.9631
UCI-Math,0,StabilitySelection,0,0.8000,2,2,1,0,5,61.0427,0.5600,34.1839
UCI-Math,0,StabilitySelection,0,0.9000,2,2,1,0,5,61.0427,0.5800,35.4048
UCI-Math,0,StabilitySelection,0,1.0000,2,2,1,0,5,61.0427,0.6000,36.6256
UCI-Math,0,Boruta,0,0.3000,1,0,1,0,2,63.1948,0.1500,9.4792
UCI-Math,0,Boruta,0,0.5000,1,0,1,0,2,63.1948,0.2500,15.7987
UCI-Math,0,Boruta,0,0.6000,1,0,1,0,2,63.1948,0.3000,18.9584
UCI-Math,0,Boruta,0,0.7000,1,0,1,0,2,63.1948,0.3500,22.1182
UCI-Math,0,Boruta,0,0.8000,1,0,1,0,2,63.1948,0.4000,25.2779
UCI-Math,0,Boruta,0,0.9000,1,0,1,0,2,63.1948,0.4500,28.4377
UCI-Math,0,Boruta,0,1.0000,1,0,1,0,2,63.1948,0.5000,31.5974
UCI-Math,1,NSGA-II-MOFS,0,0.3000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.5000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.6000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.7000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.8000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.9000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,1.0000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,StabilitySelection,0,0.3000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.5000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.6000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.7000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.8000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.9000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,1.0000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,Boruta,0,0.3000,1,0,1,1,3,81.4678,0.1000,8.1468
UCI-Math,1,Boruta,0,0.5000,1,0,1,1,3,81.4678,0.1667,13.5780
UCI-Math,1,Boruta,0,0.6000,1,0,1,1,3,81.4678,0.2000,16.2936
UCI-Math,1,Boruta,0,0.7000,1,0,1,1,3,81.4678,0.2333,19.0091
UCI-Math,1,Boruta,0,0.8000,1,0,1,1,3,81.4678,0.2667,21.7247
UCI-Math,1,Boruta,0,0.9000,1,0,1,1,3,81.4678,0.3000,24.4403
UCI-Math,1,Boruta,0,1.0000,1,0,1,1,3,81.4678,0.3333,27.1559
UCI-Math,2,NSGA-II-MOFS,0,0.3000,1,4,1,1,7,88.8253,0.6143,54.5641
UCI-Math,2,NSGA-II-MOFS,0,0.5000,1,4,1,1,7,88.8253,0.6429,57.1020
UCI-Math,2,NSGA-II-MOFS,0,0.6000,1,4,1,1,7,88.8253,0.6571,58.3709
UCI-Math,2,NSGA-II-MOFS,0,0.7000,1,4,1,1,7,88.8253,0.6714,59.6398
UCI-Math,2,NSGA-II-MOFS,0,0.8000,1,4,1,1,7,88.8253,0.6857,60.9088
UCI-Math,2,NSGA-II-MOFS,0,0.9000,1,4,1,1,7,88.8253,0.7000,62.1777
UCI-Math,2,NSGA-II-MOFS,0,1.0000,1,4,1,1,7,88.8253,0.7143,63.4466
UCI-Math,2,StabilitySelection,0,0.3000,2,0,1,2,5,90.0934,0.0600,5.4056
UCI-Math,2,StabilitySelection,0,0.5000,2,0,1,2,5,90.0934,0.1000,9.0093
UCI-Math,2,StabilitySelection,0,0.6000,2,0,1,2,5,90.0934,0.1200,10.8112
UCI-Math,2,StabilitySelection,0,0.7000,2,0,1,2,5,90.0934,0.1400,12.6131
UCI-Math,2,StabilitySelection,0,0.8000,2,0,1,2,5,90.0934,0.1600,14.4149
UCI-Math,2,StabilitySelection,0,0.9000,2,0,1,2,5,90.0934,0.1800,16.2168
UCI-Math,2,StabilitySelection,0,1.0000,2,0,1,2,5,90.0934,0.2000,18.0187
UCI-Math,2,Boruta,0,0.3000,1,0,1,2,4,87.5457,0.0750,6.5659
UCI-Math,2,Boruta,0,0.5000,1,0,1,2,4,87.5457,0.1250,10.9432
UCI-Math,2,Boruta,0,0.6000,1,0,1,2,4,87.5457,0.1500,13.1318
UCI-Math,2,Boruta,0,0.7000,1,0,1,2,4,87.5457,0.1750,15.3205
UCI-Math,2,Boruta,0,0.8000,1,0,1,2,4,87.5457,0.2000,17.5091
UCI-Math,2,Boruta,0,0.9000,1,0,1,2,4,87.5457,0.2250,19.6978
UCI-Math,2,Boruta,0,1.0000,1,0,1,2,4,87.5457,0.2500,21.8864
