dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
UCI-Math,1,NSGA-II-MOFS,0,0.3000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.5000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.6000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.7000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.8000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,0.9000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,NSGA-II-MOFS,0,1.0000,0,6,0,1,7,76.5258,0.8571,65.5936
UCI-Math,1,StabilitySelection,0,0.3000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.5000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.6000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.7000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.8000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,0.9000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,StabilitySelection,0,1.0000,3,1,0,1,5,77.8042,0.2000,15.5608
UCI-Math,1,Boruta,0,0.3000,1,0,1,1,3,81.4678,0.1000,8.1468
UCI-Math,1,Boruta,0,0.5000,1,0,1,1,3,81.4678,0.1667,13.5780
UCI-Math,1,Boruta,0,0.6000,1,0,1,1,3,81.4678,0.2000,16.2936
UCI-Math,1,Boruta,0,0.7000,1,0,1,1,3,81.4678,0.2333,19.0091
UCI-Math,1,Boruta,0,0.8000,1,0,1,1,3,81.4678,0.2667,21.7247
UCI-Math,1,Boruta,0,0.9000,1,0,1,1,3,81.4678,0.3000,24.4403
UCI-Math,1,Boruta,0,1.0000,1,0,1,1,3,81.4678,0.3333,27.1559
